Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Classification
ALIM,"Alimera Sciences, Inc.",0.96,67236874.56,,2010.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim,microcap
ALO,Alio Gold Inc.,0.75,62838049.5,,2011.0,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/alo,microcap
ALJJ,"ALJ Regional Holdings, Inc.",2.04,77359076.64,,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj,microcap
ALNA,"Allena Pharmaceuticals, Inc.",10.75,223085795.25,,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna,microcap
AKP,Alliance California Municipal Income Fund Inc,13.78,117883325.04,,2002.0,,,https://www.nasdaq.com/symbol/akp,microcap
AOI,"Alliance One International, Inc.",18.8,170029155.2,,,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/aoi,microcap
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.28,169425071.36,,2017.0,,,https://www.nasdaq.com/symbol/cbh,microcap
ACV,AllianzGI Diversified Income & Convertible Fund,24.75,254622134.25,,2015.0,,,https://www.nasdaq.com/symbol/acv,microcap
ALLT,Allot Communications Ltd.,6.38,215097425.4,,2006.0,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt,microcap
AAU,"Almaden Minerals, Ltd.",0.5975,66704675.9375,,2015.0,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aau,microcap
ATEC,"Alphatec Holdings, Inc.",3.75,158985247.5,,2006.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atec,microcap
ALPN,"Alpine Immune Sciences, Inc.",6.32,87536815.84,,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn,microcap
AAMC,Altisource Asset Management Corp,62.7,101151903.6,,,Finance,Real Estate,https://www.nasdaq.com/symbol/aamc,microcap
AMRK,"A-Mark Precious Metals, Inc.",13.41,94291744.5,,,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk,microcap
AMBR,"Amber Road, Inc.",8.68,238879632.6,,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ambr,microcap
AMBO,Ambow Education Holding Ltd.,5.95,115862981.5,,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ambo,microcap
DIT,AMCON Distributing Company,87.0,53590956.0,,,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/dit,microcap
ACSF,"American Capital Senior Floating, Ltd.",12.25,122501225.0,,2014.0,,,https://www.nasdaq.com/symbol/acsf,microcap
ARL,"American Realty Investors, Inc.",17.57,281068625.32,,,Finance,Real Estate,https://www.nasdaq.com/symbol/arl,microcap
AMRB,American River Bankshares,15.55,91197671.1,,,Finance,Major Banks,https://www.nasdaq.com/symbol/amrb,microcap
AMSC,American Superconductor Corporation,6.42,136284215.82,,1991.0,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/amsc,microcap
USAS,Americas Silver Corporation,2.3,98826501.2,,2017.0,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/usas,microcap
ASRV,AmeriServ Financial Inc.,4.45,80211659.4,,,Finance,Major Banks,https://www.nasdaq.com/symbol/asrv,microcap
ATLO,Ames National Corporation,30.75,286310574.75,,,Finance,Major Banks,https://www.nasdaq.com/symbol/atlo,microcap
ANFI,Amira Nature Foods Ltd,1.68,59523555.84,,2012.0,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/anfi,microcap
AP,Ampco-Pittsburgh Corporation,7.8,97433598.6,,,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/ap,microcap
AMPE,"Ampio Pharmaceuticals, Inc.",0.61,64990324.76,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ampe,microcap
